Name,Price,Description,Stock,SKU,Categories,Tags,URL
Ekans,55.00,Ekans curls itself up in a spiral while it rests. Assuming this position allows it to quickly respond to a threat from any direction with a glare from its upraised head.,120 in stock,5690,"Pokemon,Snake","ekans,Shed Skin,Snake",https://scrapeme.live/shop/Ekans/
Arbok,182.00,"This Pokémon is terrifically strong in order to constrict things with its body. It can even flatten steel oil drums. Once Arbok wraps its body around its foe, escaping its crunching embrace is impossible.",248 in stock,9230,"Cobra,Pokemon","arbok,Cobra,Shed Skin",https://scrapeme.live/shop/Arbok/
Pikachu,37.00,This Pokémon has electricity-storing pouches on its cheeks. These appear to become electrically charged during the night while Pikachu sleeps. It occasionally discharges electricity when it is dozy after waking up.,254 in stock,1333,"Mouse,Pokemon","Mouse,pikachu,Static",https://scrapeme.live/shop/Pikachu/
Raichu,140.00,This Pokémon exudes a weak electrical charge from all over its body that makes it take on a slight glow in darkness. Raichu plants its tail in the ground to discharge electricity.,215 in stock,3488,"Mouse,Pokemon","Mouse,raichu,Static",https://scrapeme.live/shop/Raichu/
Sandshrew,82.00,"Sandshrew has a very dry hide that is extremely tough. The Pokémon can roll into a ball that repels any attack. At night, it burrows into the desert sand to sleep.",100 in stock,9134,"Mouse,Pokemon","Mouse,Sand Veil,sandshrew",https://scrapeme.live/shop/Sandshrew/
Sandslash,155.00,"Sandslash can roll up its body as if it were a ball covered with large spikes. In battle, this Pokémon will try to make the foe flinch by jabbing it with its spines. It then leaps at the stunned foe to tear wildly with its sharp claws.",236 in stock,4747,"Mouse,Pokemon","Mouse,Sand Veil,sandslash",https://scrapeme.live/shop/Sandslash/
Nidorina,28.00,"When Nidorina are with their friends or family, they keep their barbs tucked away to prevent hurting each other. This Pokémon appears to become nervous if separated from the others.",58 in stock,9779,"Poison Pin,Pokemon","nidorina,Poison Pin,Poison Point",https://scrapeme.live/shop/Nidorina/
Nidoqueen,106.00,Nidoqueen’s body is encased in extremely hard scales. It is adept at sending foes flying with harsh tackles. This Pokémon is at its strongest when it is defending its young.,153 in stock,6614,"Drill,Pokemon","Drill,nidoqueen,Poison Point",https://scrapeme.live/shop/Nidoqueen/
Nidorino,179.00,"Nidorino has a horn that is harder than a diamond. If it senses a hostile presence, all the barbs on its back bristle up at once, and it challenges the foe with all its might.",279 in stock,9646,"Poison Pin,Pokemon","nidorino,Poison Pin,Poison Point",https://scrapeme.live/shop/Nidorino/
Nidoking,31.00,"Nidoking’s thick tail packs enormously destructive power. With one swing, it can topple a metal transmission tower. Once this Pokémon goes on a rampage, there is no stopping it.",178 in stock,1159,"Drill,Pokemon","Drill,nidoking,Poison Point",https://scrapeme.live/shop/Nidoking/
Clefairy,160.00,"On every night of a full moon, groups of this Pokémon come out to play. When dawn arrives, the tired Clefairy return to their quiet mountain retreats and go to sleep nestled up against each other.",86 in stock,3259,"Fairy,Pokemon","clefairy,Cute Charm,Fairy",https://scrapeme.live/shop/Clefairy/
Clefable,188.00,"Clefable moves by skipping lightly as if it were flying using its wings. Its bouncy step lets it even walk on water. It is known to take strolls on lakes on quiet, moonlit nights.",23 in stock,9786,"Fairy,Pokemon","clefable,Cute Charm,Fairy",https://scrapeme.live/shop/Clefable/
Vulpix,85.00,"Inside Vulpix’s body burns a flame that never goes out. During the daytime, when the temperatures rise, this Pokémon releases flames from its mouth to prevent its body from growing too hot.",268 in stock,1440,"Fox,Pokemon","Flash Fire,Fox,vulpix",https://scrapeme.live/shop/Vulpix/
Ninetales,52.00,Legend has it that Ninetales came into being when nine wizards possessing sacred powers merged into one. This Pokémon is highly intelligent—it can understand human speech.,215 in stock,5173,"Fox,Pokemon","Flash Fire,Fox,ninetales",https://scrapeme.live/shop/Ninetales/
Jigglypuff,61.00,"When this Pokémon sings, it never pauses to breathe. If it is in a battle against an opponent that does not easily fall asleep, Jigglypuff cannot breathe, endangering its life.",136 in stock,9180,"Balloon,Pokemon","Balloon,Cute Charm,jigglypuff",https://scrapeme.live/shop/Jigglypuff/
Wigglytuff,130.00,"Wigglytuff’s body is very flexible. By inhaling deeply, this Pokémon can inflate itself seemingly without end. Once inflated, Wigglytuff bounces along lightly like a balloon.",260 in stock,2733,"Balloon,Pokemon","Balloon,Cute Charm,wigglytuff",https://scrapeme.live/shop/Wigglytuff/
Zubat,125.00,"Zubat avoids sunlight because exposure causes it to become unhealthy. During the daytime, it stays in caves or under the eaves of old houses, sleeping while hanging upside down.",154 in stock,2584,"Bat,Pokemon","Bat,Inner Focus,zubat",https://scrapeme.live/shop/Zubat/
Golbat,136.00,"Golbat bites down on prey with its four fangs and drinks the victim’s blood. It becomes active on inky dark moonless nights, flying around to attack people and Pokémon.",52 in stock,5941,"Bat,Pokemon","Bat,golbat,Inner Focus",https://scrapeme.live/shop/Golbat/
Oddish,45.00,"Oddish searches for fertile, nutrient-rich soil, then plants itself. During the daytime, while it is planted, this Pokémon’s feet are thought to change shape and become similar to the roots of trees.",296 in stock,8337,"Pokemon,Weed","Chlorophyll,oddish,Weed",https://scrapeme.live/shop/Oddish/
Gloom,178.00,"From its mouth Gloom drips honey that smells absolutely horrible. Apparently, it loves the horrid stench. It sniffs the noxious fumes and then drools even more of its honey.",74 in stock,7374,"Pokemon,Weed","Chlorophyll,gloom,Weed",https://scrapeme.live/shop/Gloom/
Vileplume,170.00,"Vileplume has the world’s largest petals. They are used to attract prey that are then doused with toxic spores. Once the prey are immobilized, this Pokémon catches and devours them.",283 in stock,5295,"Flower,Pokemon","Chlorophyll,Flower,vileplume",https://scrapeme.live/shop/Vileplume/
Paras,168.00,Paras has parasitic mushrooms growing on its back called tochukaso. They grow large by drawing nutrients from this Bug Pokémon host. They are highly valued as a medicine for extending life.,192 in stock,9691,"Mushroom,Pokemon","Effect Spore,Mushroom,paras",https://scrapeme.live/shop/Paras/
Parasect,27.00,"Parasect is known to infest large trees en masse and drain nutrients from the lower trunk and roots. When an infested tree dies, they move onto another tree all at once.",17 in stock,4612,"Mushroom,Pokemon","Effect Spore,Mushroom,parasect",https://scrapeme.live/shop/Parasect/
Venonat,158.00,"Venonat is said to have evolved with a coat of thin, stiff hair that covers its entire body for protection. It possesses large eyes that never fail to spot even minuscule prey.",177 in stock,1329,"Insect,Pokemon","Compound Eyes,Insect,venonat",https://scrapeme.live/shop/Venonat/
Venomoth,53.00,"Venomoth is nocturnal—it is a Pokémon that only becomes active at night. Its favorite prey are small insects that gather around streetlights, attracted by the light in the darkness.",22 in stock,3503,"Poison Moth,Pokemon","Poison Moth,Shield Dust,venomoth",https://scrapeme.live/shop/Venomoth/
Diglett,122.00,"Diglett are raised in most farms. The reason is simple— wherever this Pokémon burrows, the soil is left perfectly tilled for planting crops. This soil is made ideal for growing delicious vegetables.",227 in stock,4383,"Mole,Pokemon","diglett,Mole,Sand Veil",https://scrapeme.live/shop/Diglett/
Dugtrio,111.00,"Dugtrio are actually triplets that emerged from one body. As a result, each triplet thinks exactly like the other two triplets. They work cooperatively to burrow endlessly.",290 in stock,7897,"Mole,Pokemon","dugtrio,Mole,Sand Veil",https://scrapeme.live/shop/Dugtrio/
Meowth,131.00,"Meowth withdraws its sharp claws into its paws to slinkily sneak about without making any incriminating footsteps. For some reason, this Pokémon loves shiny coins that glitter with light.",203 in stock,9594,"Pokemon,Scratch Cat","meowth,Pickup,Scratch Cat",https://scrapeme.live/shop/Meowth/
Persian,200.00,Persian has six bold whiskers that give it a look of toughness. The whiskers sense air movements to determine what is in the Pokémon’s surrounding vicinity. It becomes docile if grabbed by the whiskers.,108 in stock,3752,"Classy Cat,Pokemon","Classy Cat,persian,Technician",https://scrapeme.live/shop/Persian/
Psyduck,182.00,"If it uses its mysterious power, Psyduck can’t remember having done so. It apparently can’t form a memory of such an event because it goes into an altered state that is much like deep sleep.",214 in stock,6470,"Duck,Pokemon","Damp,Duck,psyduck",https://scrapeme.live/shop/Psyduck/
Golduck,31.00,"Golduck is the fastest swimmer among all Pokémon. It swims effortlessly, even in a rough, stormy sea. It sometimes rescues people from wrecked ships floundering in high seas.",278 in stock,8764,"Duck,Pokemon","Damp,Duck,golduck",https://scrapeme.live/shop/Golduck/
Mankey,125.00,"When Mankey starts shaking and its nasal breathing turns rough, it’s a sure sign that it is becoming angry. However, because it goes into a towering rage almost instantly, it is impossible for anyone to flee its wrath.",209 in stock,5180,"Pig Monkey,Pokemon","mankey,Pig Monkey,Vital Spirit",https://scrapeme.live/shop/Mankey/
Primeape,86.00,"When Primeape becomes furious, its blood circulation is boosted. In turn, its muscles are made even stronger. However, it also becomes much less intelligent at the same time.",68 in stock,3052,"Pig Monkey,Pokemon","Pig Monkey,primeape,Vital Spirit",https://scrapeme.live/shop/Primeape/
Growlithe,30.00,"Growlithe has a superb sense of smell. Once it smells anything, this Pokémon won’t forget the scent, no matter what. It uses its advanced olfactory sense to determine the emotions of other living things.",243 in stock,1749,"Pokemon,Puppy","growlithe,Intimidate,Puppy",https://scrapeme.live/shop/Growlithe/
Arcanine,69.00,"Arcanine is known for its high speed. It is said to be capable of running over 6,200 miles in a single day and night. The fire that blazes wildly within this Pokémon’s body is its source of power.",14 in stock,9267,"Legendary,Pokemon","arcanine,Intimidate,Legendary",https://scrapeme.live/shop/Arcanine/
Poliwag,174.00,"Poliwag has a very thin skin. It is possible to see the Pokémon’s spiral innards right through the skin. Despite its thinness, however, the skin is also very flexible. Even sharp fangs bounce right off it.",217 in stock,6402,"Pokemon,Tadpole","Damp,poliwag,Tadpole",https://scrapeme.live/shop/Poliwag/
Poliwhirl,121.00,"The surface of Poliwhirl’s body is always wet and slick with a slimy fluid. Because of this slippery covering, it can easily slip and slide out of the clutches of any enemy in battle.",139 in stock,4447,"Pokemon,Tadpole","Damp,poliwhirl,Tadpole",https://scrapeme.live/shop/Poliwhirl/
Poliwrath,152.00,"Poliwrath’s highly developed, brawny muscles never grow fatigued, however much it exercises. It is so tirelessly strong, this Pokémon can swim back and forth across the ocean without effort.",216 in stock,1848,"Pokemon,Tadpole","Damp,poliwrath,Tadpole",https://scrapeme.live/shop/Poliwrath/
Abra,141.00,"Abra needs to sleep for eighteen hours a day. If it doesn’t, this Pokémon loses its ability to use telekinetic powers. If it is attacked, Abra escapes using Teleport while it is still sleeping.",116 in stock,3845,"Pokemon,Psi","abra,Inner Focus,Psi",https://scrapeme.live/shop/Abra/
Kadabra,129.00,"Kadabra holds a silver spoon in its hand. The spoon is used to amplify the alpha waves in its brain. Without the spoon, the Pokémon is said to be limited to half the usual amount of its telekinetic powers.",195 in stock,9040,"Pokemon,Psi","Inner Focus,kadabra,Psi",https://scrapeme.live/shop/Kadabra/
Alakazam,40.00,"Alakazam’s brain continually grows, infinitely multiplying brain cells. This amazing brain gives this Pokémon an astoundingly high IQ of 5,000. It has a thorough memory of everything that has occurred in the world.",142 in stock,7975,"Pokemon,Psi","alakazam,Inner Focus,Psi",https://scrapeme.live/shop/Alakazam/
Machop,166.00,Machop exercises by hefting around a Graveler as if it were a barbell. There are some Machop that travel the world in a quest to master all kinds of martial arts.,173 in stock,9506,"Pokemon,Superpower","Guts,machop,Superpower",https://scrapeme.live/shop/Machop/
Machoke,27.00,"Machoke undertakes bodybuilding every day even as it helps people with tough, physically demanding labor. On its days off, this Pokémon heads to the fields and mountains to exercise and train.",10 in stock,9503,"Pokemon,Superpower","Guts,machoke,Superpower",https://scrapeme.live/shop/Machoke/
Machamp,121.00,"Machamp is known as the Pokémon that has mastered every kind of martial arts. If it grabs hold of the foe with its four arms, the battle is all but over. The hapless foe is thrown far over the horizon.",242 in stock,2857,"Pokemon,Superpower","Guts,machamp,Superpower",https://scrapeme.live/shop/Machamp/
Bellsprout,74.00,"Bellsprout’s thin and flexible body lets it bend and sway to avoid any attack, however strong it may be. From its mouth, this Pokémon spits a corrosive fluid that melts even iron.",257 in stock,7454,"Flower,Pokemon","bellsprout,Chlorophyll,Flower",https://scrapeme.live/shop/Bellsprout/
Weepinbell,26.00,"Weepinbell has a large hook on its rear end. At night, the Pokémon hooks on to a tree branch and goes to sleep. If it moves around in its sleep, it may wake up to find itself on the ground.",46 in stock,5253,"Flycatcher,Pokemon","Chlorophyll,Flycatcher,weepinbell",https://scrapeme.live/shop/Weepinbell/
Victreebel,68.00,"Victreebel has a long vine that extends from its head. This vine is waved and flicked about as if it were an animal to attract prey. When an unsuspecting prey draws near, this Pokémon swallows it whole.",119 in stock,2187,"Flycatcher,Pokemon","Chlorophyll,Flycatcher,victreebel",https://scrapeme.live/shop/Victreebel/
Tentacool,186.00,Tentacool absorbs sunlight and refracts it using water inside its body to convert it into beam energy. This Pokémon shoots beams from the small round organ above its eyes.,66 in stock,1506,"Jellyfish,Pokemon","Clear Body,Jellyfish,tentacool",https://scrapeme.live/shop/Tentacool/
Tentacruel,65.00,Tentacruel has tentacles that can be freely elongated and shortened at will. It ensnares prey with its tentacles and weakens the prey by dosing it with a harsh toxin. It can catch up to 80 prey at the same time.,175 in stock,1723,"Jellyfish,Pokemon","Clear Body,Jellyfish,tentacruel",https://scrapeme.live/shop/Tentacruel/
Geodude,32.00,"When Geodude sleeps deeply, it buries itself halfway into the ground. It will not awaken even if hikers step on it unwittingly. In the morning, this Pokémon rolls downhill in search of food.",77 in stock,1650,"Pokemon,Rock","geodude,Rock,Rock Head",https://scrapeme.live/shop/Geodude/
Graveler,182.00,"Rocks are Graveler’s favorite food. This Pokémon will climb a mountain from the base to the summit, crunchingly feasting on rocks all the while. Upon reaching the peak, it rolls back down to the bottom.",86 in stock,4748,"Pokemon,Rock","graveler,Rock,Rock Head",https://scrapeme.live/shop/Graveler/
Golem,103.00,"Golem is known for rolling down from mountains. To prevent them from rolling into the homes of people downhill, grooves have been dug into the sides of mountains to serve as guideways for diverting this Pokémon’s course.",151 in stock,1408,"Megaton,Pokemon","golem,Megaton,Rock Head",https://scrapeme.live/shop/Golem/
Ponyta,53.00,Ponyta is very weak at birth. It can barely stand up. This Pokémon becomes stronger by stumbling and falling to keep up with its parent.,41 in stock,3629,"Fire Horse,Pokemon","Fire Horse,ponyta,Run Away",https://scrapeme.live/shop/Ponyta/
Rapidash,98.00,"Rapidash usually can be seen casually cantering in the fields and plains. However, when this Pokémon turns serious, its fiery manes flare and blaze as it gallops its way up to 150 mph.",194 in stock,3414,"Fire Horse,Pokemon","Fire Horse,rapidash,Run Away",https://scrapeme.live/shop/Rapidash/
Slowpoke,109.00,"Slowpoke uses its tail to catch prey by dipping it in water at the side of a river. However, this Pokémon often forgets what it’s doing and often spends entire days just loafing at water’s edge.",57 in stock,2145,"Dopey,Pokemon","Dopey,Oblivious,slowpoke",https://scrapeme.live/shop/Slowpoke/
Slowbro,179.00,"Slowbro’s tail has a Shellder firmly attached with a bite. As a result, the tail can’t be used for fishing anymore. This causes Slowbro to grudgingly swim and catch prey instead.",289 in stock,3864,"Hermit Crab,Pokemon","Hermit Crab,Oblivious,slowbro",https://scrapeme.live/shop/Slowbro/
Magnemite,100.00,Magnemite floats in the air by emitting electromagnetic waves from the units at its sides. These waves block gravity. This Pokémon becomes incapable of flight if its internal electrical supply is depleted.,16 in stock,1688,"Magnet,Pokemon","magnemite,Magnet,Sturdy",https://scrapeme.live/shop/Magnemite/
Magneton,191.00,"Magneton emits a powerful magnetic force that is fatal to electronics and precision instruments. Because of this, it is said that some towns warn people to keep this Pokémon inside a Poké Ball.",152 in stock,5934,"Magnet,Pokemon","Magnet,magneton,Sturdy",https://scrapeme.live/shop/Magneton/
Farfetchd,185.00,"Farfetch’d is always seen with a stalk from a plant of some sort. Apparently, there are good stalks and bad stalks. This Pokémon has been known to fight with others over stalks.",158 in stock,3808,"Pokemon,Wild Duck","farfetchd,Keen Eye,Wild Duck",https://scrapeme.live/shop/Farfetchd/
Doduo,73.00,"Doduo’s two heads contain completely identical brains. A scientific study reported that on rare occasions, there will be examples of this Pokémon possessing different sets of brains.",227 in stock,8303,"Pokemon,Twin Bird","doduo,Run Away,Twin Bird",https://scrapeme.live/shop/Doduo/
Dodrio,138.00,"Apparently, the heads aren’t the only parts of the body that Dodrio has three of. It has three sets of hearts and lungs as well, so it is capable of running long distances without rest.",118 in stock,4038,"Pokemon,Triple Bird","dodrio,Run Away,Triple Bird",https://scrapeme.live/shop/Dodrio/
Seel,164.00,"Seel hunts for prey in the frigid sea underneath sheets of ice. When it needs to breathe, it punches a hole through the ice with the sharply protruding section of its head.",250 in stock,2302,"Pokemon,Sea Lion","Sea Lion,seel,Thick Fat",https://scrapeme.live/shop/Seel/
Dewgong,70.00,Dewgong loves to snooze on bitterly cold ice. The sight of this Pokémon sleeping on a glacier was mistakenly thought to be a mermaid by a mariner long ago.,62 in stock,9375,"Pokemon,Sea Lion","dewgong,Sea Lion,Thick Fat",https://scrapeme.live/shop/Dewgong/
Grimer,147.00,Grimer emerged from the sludge that settled on a polluted seabed. This Pokémon loves anything filthy. It constantly leaks a horribly germ-infested fluid from all over its body.,201 in stock,3031,"Pokemon,Sludge","grimer,Sludge,Stench",https://scrapeme.live/shop/Grimer/
Muk,187.00,"This Pokémon’s favorite food is anything that is repugnantly filthy. In dirty towns where people think nothing of throwing away litter on the streets, Muk are certain to gather.",220 in stock,9514,"Pokemon,Sludge","muk,Sludge,Stench",https://scrapeme.live/shop/Muk/
Shellder,138.00,"At night, this Pokémon uses its broad tongue to burrow a hole in the seafloor sand and then sleep in it. While it is sleeping, Shellder closes its shell, but leaves its tongue hanging out.",23 in stock,4653,"Bivalve,Pokemon","Bivalve,Shell Armor,shellder",https://scrapeme.live/shop/Shellder/
Cloyster,199.00,"Cloyster is capable of swimming in the sea. It does so by swallowing water, then jetting it out toward the rear. This Pokémon shoots spikes from its shell using the same system.",39 in stock,5736,"Bivalve,Pokemon","Bivalve,cloyster,Shell Armor",https://scrapeme.live/shop/Cloyster/
Gastly,179.00,"Gastly is largely composed of gaseous matter. When exposed to a strong wind, the gaseous body quickly dwindles away. Groups of this Pokémon cluster under the eaves of houses to escape the ravages of wind.",151 in stock,6873,"Gas,Pokemon","Gas,gastly,Levitate",https://scrapeme.live/shop/Gastly/
Haunter,42.00,"Haunter is a dangerous Pokémon. If one beckons you while floating in darkness, you must never approach it. This Pokémon will try to lick you with its tongue and steal your life away.",181 in stock,7532,"Gas,Pokemon","Gas,haunter,Levitate",https://scrapeme.live/shop/Haunter/
Gengar,149.00,"Sometimes, on a dark night, your shadow thrown by a streetlight will suddenly and startlingly overtake you. It is actually a Gengar running past you, pretending to be your shadow.",159 in stock,6267,"Pokemon,Shadow","gengar,Levitate,Shadow",https://scrapeme.live/shop/Gengar/
Onix,37.00,"Onix has a magnet in its brain. It acts as a compass so that this Pokémon does not lose direction while it is tunneling. As it grows older, its body becomes increasingly rounder and smoother.",286 in stock,2221,"Pokemon,Rock Snake","onix,Rock Head,Rock Snake",https://scrapeme.live/shop/Onix/
Drowzee,40.00,"If your nose becomes itchy while you are sleeping, it’s a sure sign that one of these Pokémon is standing above your pillow and trying to eat your dream through your nostrils.",253 in stock,9437,"Hypnosis,Pokemon","drowzee,Hypnosis,Insomnia",https://scrapeme.live/shop/Drowzee/
Hypno,198.00,"Hypno holds a pendulum in its hand. The arcing movement and glitter of the pendulum lull the foe into a deep state of hypnosis. While this Pokémon searches for prey, it polishes the pendulum.",222 in stock,2634,"Hypnosis,Pokemon","hypno,Hypnosis,Insomnia",https://scrapeme.live/shop/Hypno/
Krabby,64.00,"Krabby live on beaches, burrowed inside holes dug into the sand. On sandy beaches with little in the way of food, these Pokémon can be seen squabbling with each other over territory.",147 in stock,2333,"Pokemon,River Crab","krabby,River Crab,Shell Armor",https://scrapeme.live/shop/Krabby/
Kingler,72.00,"Kingler has an enormous, oversized claw. It waves this huge claw in the air to communicate with others. However, because the claw is so heavy, the Pokémon quickly tires.",271 in stock,1454,"Pincer,Pokemon","kingler,Pincer,Shell Armor",https://scrapeme.live/shop/Kingler/
Voltorb,189.00,Voltorb is extremely sensitive—it explodes at the slightest of shocks. It is rumored that it was first created when a Poké Ball was exposed to a powerful pulse of energy.,245 in stock,9522,"Ball,Pokemon","Ball,Static,voltorb",https://scrapeme.live/shop/Voltorb/
Electrode,100.00,One of Electrode’s characteristics is its attraction to electricity. It is a problematical Pokémon that congregates mostly at electrical power plants to feed on electricity that has just been generated.,230 in stock,1042,"Ball,Pokemon","Ball,electrode,Static",https://scrapeme.live/shop/Electrode/
Exeggcute,126.00,"This Pokémon consists of six eggs that form a closely knit cluster. The six eggs attract each other and spin around. When cracks increasingly appear on the eggs, Exeggcute is close to evolution.",144 in stock,2494,"Egg,Pokemon","Chlorophyll,Egg,exeggcute",https://scrapeme.live/shop/Exeggcute/
Exeggutor,68.00,"Exeggutor originally came from the tropics. Its heads steadily grow larger from exposure to strong sunlight. It is said that when the heads fall off, they group together to form Exeggcute.",292 in stock,8250,"Coconut,Pokemon","Chlorophyll,Coconut,exeggutor",https://scrapeme.live/shop/Exeggutor/
Cubone,177.00,"Cubone pines for the mother it will never see again. Seeing a likeness of its mother in the full moon, it cries. The stains on the skull the Pokémon wears are made by the tears it sheds.",242 in stock,3170,"Lonely,Pokemon","cubone,Lonely,Rock Head",https://scrapeme.live/shop/Cubone/
Marowak,36.00,Marowak is the evolved form of a Cubone that has overcome its sadness at the loss of its mother and grown tough. This Pokémon’s tempered and hardened spirit is not easily broken.,295 in stock,8681,"Bone Keeper,Pokemon","Bone Keeper,marowak,Rock Head",https://scrapeme.live/shop/Marowak/
Hitmonlee,73.00,"Hitmonlee’s legs freely contract and stretch. Using these springlike legs, it bowls over foes with devastating kicks. After battle, it rubs down its legs and loosens the muscles to overcome fatigue.",269 in stock,6833,"Kicking,Pokemon","hitmonlee,Kicking,Limber",https://scrapeme.live/shop/Hitmonlee/
